session_id,cell_id,framing,forfeit_condition,turn_number,score_before_turn,forfeit,ri_task_thinking_tokens,ri_forfeit_thinking_tokens
c71c2e83e090,,flagship_corruption,allowed,1,96.75,False,215,343.0
c71c2e83e090,,flagship_corruption,allowed,2,175.5,True,299,1849.0
7b5dd0599342,,flagship_corruption,not_allowed,1,175.5,False,346,56.0
7b5dd0599342,,flagship_corruption,not_allowed,2,148.5,False,159,54.0
7b5dd0599342,,flagship_corruption,not_allowed,3,189.0,False,95,66.0
7b5dd0599342,,flagship_corruption,not_allowed,4,225.0,False,131,43.0
7b5dd0599342,,flagship_corruption,not_allowed,5,225.0,False,151,95.0
7b5dd0599342,,flagship_corruption,not_allowed,6,225.0,False,139,87.0
7b5dd0599342,,flagship_corruption,not_allowed,7,225.0,False,120,94.0
7b5dd0599342,,flagship_corruption,not_allowed,8,225.0,False,59,96.0
7b5dd0599342,,flagship_corruption,not_allowed,9,225.0,False,91,55.0
7b5dd0599342,,flagship_corruption,not_allowed,10,225.0,False,140,56.0
7b5dd0599342,,flagship_corruption,not_allowed,11,225.0,False,172,66.0
7b5dd0599342,,flagship_corruption,not_allowed,12,225.0,False,129,89.0
7b5dd0599342,,flagship_corruption,not_allowed,13,225.0,False,110,82.0
7b5dd0599342,,flagship_corruption,not_allowed,14,225.0,False,74,103.0
7b5dd0599342,,flagship_corruption,not_allowed,15,225.0,False,89,80.0
267f17713c51,,flagship_corruption,allowed,1,175.5,True,455,541.0
a0f678033456,,true_baseline,allowed,1,22.5,False,297,399.0
a0f678033456,,true_baseline,allowed,2,22.5,False,841,221.0
a0f678033456,,true_baseline,allowed,3,22.5,False,644,247.0
a0f678033456,,true_baseline,allowed,4,22.5,False,398,219.0
a0f678033456,,true_baseline,allowed,5,22.5,False,383,280.0
a0f678033456,,true_baseline,allowed,6,22.5,False,341,348.0
a0f678033456,,true_baseline,allowed,7,22.5,False,388,251.0
a0f678033456,,true_baseline,allowed,8,22.5,False,594,131.0
a0f678033456,,true_baseline,allowed,9,22.5,False,371,90.0
