session_id,cell_id,framing,forfeit_condition,turn_number,score_before_turn,forfeit,forfeit_reason,reward_offered_this_turn,psuccess_self,task_success_factor,rule_match_score,thinking_tokens,ri_task_thinking_tokens,ri_forfeit_thinking_tokens,ri_probe_thinking_tokens,is_corruption,is_baseline_flagship,cap_bound,floor_bound,ev_delta_s,regime
85b6859885d3,,flagship_corruption,allowed,1,175.5,True,3.0,78.0,25.0,0.0,,6346,2298,4048.0,3937.0,True,False,False,True,14.625,no_cap
d4804f778e02,,flagship_corruption,allowed,1,72.0,True,1.0,32.0,75.0,0.0,,5569,1031,4538.0,8137.0,True,False,False,False,6.0,no_cap
883927e12fbe,,baseline_flagship,allowed,1,159.75,False,,71.0,33.0,0.0,50.0,1956,866,1090.0,4313.0,False,True,False,False,13.3125,no_cap
883927e12fbe,,baseline_flagship,allowed,2,105.75,False,,47.0,50.0,1.0,100.0,6281,2817,3464.0,4251.0,False,True,False,False,8.8125,no_cap
883927e12fbe,,baseline_flagship,allowed,3,90.0,True,3.0,40.0,99.0,0.0,,3583,1542,2041.0,1406.0,False,True,False,False,7.5,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,1,22.5,False,,10.0,,0.0,25.0,1311,1311,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,2,22.5,False,,10.0,,1.0,75.0,3383,3383,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,3,22.5,False,,10.0,,0.0,75.0,793,793,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,4,22.5,False,,10.0,,1.0,75.0,3875,3875,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,5,22.5,False,,10.0,,1.0,75.0,1351,1351,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,6,22.5,False,,10.0,,0.0,75.0,3036,3036,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,7,22.5,False,,10.0,,1.0,100.0,1597,1597,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,8,22.5,False,,10.0,,1.0,100.0,1295,1295,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,9,22.5,False,,10.0,,1.0,100.0,3792,3792,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,10,22.5,False,,10.0,,1.0,100.0,1661,1661,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,11,22.5,False,,10.0,,1.0,100.0,1291,1291,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,12,22.5,False,,10.0,,1.0,100.0,2740,2740,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,13,22.5,False,,10.0,,1.0,100.0,1957,1957,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,14,22.5,False,,10.0,,1.0,100.0,1434,1434,,,False,False,False,False,1.875,no_cap
3737b7caeea6,0.0,true_baseline,not_allowed,15,22.5,False,,10.0,,1.0,100.0,1195,1195,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,1,22.5,False,,10.0,,0.0,25.0,1415,1415,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,2,22.5,False,,10.0,,1.0,75.0,2694,2694,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,3,22.5,False,,10.0,,0.0,75.0,952,952,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,4,22.5,False,,10.0,,1.0,75.0,2696,2696,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,5,22.5,False,,10.0,,0.0,75.0,2527,2527,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,6,22.5,False,,10.0,,1.0,100.0,1260,1260,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,7,22.5,False,,10.0,,1.0,100.0,1962,1962,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,8,22.5,False,,10.0,,1.0,100.0,1797,1797,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,9,22.5,False,,10.0,,1.0,100.0,1552,1552,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,10,22.5,False,,10.0,,1.0,100.0,2692,2692,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,11,22.5,False,,10.0,,1.0,100.0,1799,1799,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,12,22.5,False,,10.0,,1.0,100.0,2591,2591,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,13,22.5,False,,10.0,,1.0,100.0,1860,1860,,,False,False,False,False,1.875,no_cap
c7d4ecfff8f8,0.0,true_baseline,not_allowed,14,22.5,False,,10.0,,1.0,100.0,2881,2881,,,False,False,False,False,1.875,no_cap
